FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.3082777,3082777,POINT (16.21423172577804 48.24465708161202),Sofienalpenstraße/Roßkopfgasse,Sofienalpenstraße/Roßkopfgasse,49B,,12,https://anachb.vor.at#P|SQ!evaId|Wien%20Sofienalpenstraße/Roßkopfgasse!start|1,
OEFFHALTESTOGD.3082778,3082778,POINT (16.276368125715766 48.15955938179672),Sillerplatz,Sillerplatz,60,,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Sillerplatz!start|1,
OEFFHALTESTOGD.3082779,3082779,POINT (16.27632322587179 48.159637281764454),Sillerplatz,Sillerplatz,N60,,11,https://anachb.vor.at#P|SQ!evaId|Wien%20Sillerplatz!start|1,
OEFFHALTESTOGD.3082780,3082780,POINT (16.27632322587179 48.159637281764454),Sillerplatz,Sillerplatz,N60,,10,https://anachb.vor.at#P|SQ!evaId|Wien%20Sillerplatz!start|1,
OEFFHALTESTOGD.3082781,3082781,POINT (16.276278325574552 48.15959528127918),Sillerplatz,Sillerplatz,60,,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Sillerplatz!start|1,
OEFFHALTESTOGD.3082782,3082782,POINT (16.276395125828977 48.15960128121403),Sillerplatz,Sillerplatz,N60,,11,https://anachb.vor.at#P|SQ!evaId|Wien%20Sillerplatz!start|1,
OEFFHALTESTOGD.3082783,3082783,POINT (16.276395125828977 48.15960128121403),Sillerplatz,Sillerplatz,N60,,10,https://anachb.vor.at#P|SQ!evaId|Wien%20Sillerplatz!start|1,
OEFFHALTESTOGD.3082784,3082784,POINT (16.321409625782447 48.249131681133974),Sieveringer Friedhof,Sieveringer Friedhof,39B,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Sieveringer%20Friedhof!start|1,
OEFFHALTESTOGD.3082785,3082785,POINT (16.408501326289606 48.1672408808521),Grillgasse,Grillgasse,"15A, SV700",,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Grillgasse!start|1,
OEFFHALTESTOGD.3082786,3082786,POINT (16.40845642535889 48.16714508116374),Grillgasse,Grillgasse,"15A, SV700",,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Grillgasse!start|1,
OEFFHALTESTOGD.3082787,3082787,POINT (16.49926712611725 48.23917698085013),Schukowitzgasse,Schukowitzgasse,95A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Schukowitzgasse!start|1,
OEFFHALTESTOGD.3082788,3082788,POINT (16.498934726776355 48.23962568078244),Schukowitzgasse,Schukowitzgasse,"95A, 97A",,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Schukowitzgasse!start|1,
OEFFHALTESTOGD.3082789,3082789,POINT (16.440607126568107 48.17735338118),Simmeringer Haide,Simmeringer Haide,"76B, 76A",,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Simmeringer%20Haide!start|1,
OEFFHALTESTOGD.3082790,3082790,POINT (16.42021532611375 48.170362281194976),Simmering,Simmering,N71,,11,https://anachb.vor.at#P|SQ!evaId|Wien%20Simmering!start|1,
OEFFHALTESTOGD.3082791,3082791,POINT (16.42021532611375 48.170362281194976),Simmering,Simmering,N71,,10,https://anachb.vor.at#P|SQ!evaId|Wien%20Simmering!start|1,
OEFFHALTESTOGD.3082792,3082792,POINT (16.420305225433466 48.169865081241916),Simmering,Simmering,73A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Simmering!start|1,
OEFFHALTESTOGD.3082793,3082793,POINT (16.420430926615914 48.170122680797725),Simmering,Simmering,"11, 71",,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Simmering!start|1,
OEFFHALTESTOGD.3082794,3082794,POINT (16.41990992635408 48.16956548096155),Simmering,Simmering,72A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Simmering!start|1,
OEFFHALTESTOGD.3082795,3082795,POINT (16.420350125709742 48.17008678129029),Simmering,Simmering,"11, 71",,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Simmering!start|1,
OEFFHALTESTOGD.3082796,3082796,POINT (16.419892025846206 48.169763180717474),Simmering,Simmering,69A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Simmering!start|1,
OEFFHALTESTOGD.3082797,3082797,POINT (16.420080625505502 48.169661381291),Simmering,Simmering,72A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Simmering!start|1,
OEFFHALTESTOGD.3082798,3082798,POINT (16.419788558671154 48.16975125183032),Simmering,Simmering,217,,3,https://anachb.vor.at#P|SQ!evaId|Wien%20Simmering!start|1,
OEFFHALTESTOGD.3082799,3082799,POINT (16.419698759468595 48.16967335169375),Simmering,Simmering,218,,3,https://anachb.vor.at#P|SQ!evaId|Wien%20Simmering!start|1,
OEFFHALTESTOGD.3082800,3082800,POINT (16.4196089588683 48.169589452069076),Simmering,Simmering,272,,3,https://anachb.vor.at#P|SQ!evaId|Wien%20Simmering!start|1,
OEFFHALTESTOGD.3082801,3082801,POINT (16.227975926631718 48.21656828153543),"Wolfersberg, Schöffelplatz","Wolfersberg, Schöffelplatz",49A,,2,"https://anachb.vor.at#P|SQ!evaId|Wien%20Wolfersberg,%20Schöffelplatz!start|1",
OEFFHALTESTOGD.3082802,3082802,POINT (16.33404002641128 48.17491528120359),"Meidling S+U, Eichenstraße","Meidling S+U, Eichenstraße","62A, 8A",,2,"https://anachb.vor.at#P|SQ!evaId|Wien%20Meidling%20S+U,%20Eichenstraße!start|1",
OEFFHALTESTOGD.3082803,3082803,POINT (16.333285425654484 48.174741581514255),"Meidling S+U, Eichenstraße","Meidling S+U, Eichenstraße","62A, 8A",,2,"https://anachb.vor.at#P|SQ!evaId|Wien%20Meidling%20S+U,%20Eichenstraße!start|1",
OEFFHALTESTOGD.3082804,3082804,POINT (16.33194692528318 48.1748134813478),"Meidling S+U, Eichenstraße","Meidling S+U, Eichenstraße",59A,,2,"https://anachb.vor.at#P|SQ!evaId|Wien%20Meidling%20S+U,%20Eichenstraße!start|1",
OEFFHALTESTOGD.3082805,3082805,POINT (16.412058625356465 48.17444208154924),Polkorabplatz,Polkorabplatz,N6,,11,https://anachb.vor.at#P|SQ!evaId|Wien%20Polkorabplatz!start|1,
OEFFHALTESTOGD.3082806,3082806,POINT (16.412058625356465 48.17444208154924),Polkorabplatz,Polkorabplatz,N6,,10,https://anachb.vor.at#P|SQ!evaId|Wien%20Polkorabplatz!start|1,
OEFFHALTESTOGD.3082807,3082807,POINT (16.411492726445584 48.17459778124998),Polkorabplatz,Polkorabplatz,11,,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Polkorabplatz!start|1,
OEFFHALTESTOGD.3082808,3082808,POINT (16.370924826273612 48.230177781511074),Wallensteinplatz,Wallensteinplatz,"33, 5",,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Wallensteinplatz!start|1,
OEFFHALTESTOGD.3082809,3082809,POINT (16.372227325760907 48.23068038141393),Wallensteinplatz,Wallensteinplatz,31,,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Wallensteinplatz!start|1,
OEFFHALTESTOGD.3082810,3082810,POINT (16.370888926453244 48.23012988117318),Wallensteinplatz,Wallensteinplatz,N31,,11,https://anachb.vor.at#P|SQ!evaId|Wien%20Wallensteinplatz!start|1,
OEFFHALTESTOGD.3082811,3082811,POINT (16.370888926453244 48.23012988117318),Wallensteinplatz,Wallensteinplatz,N31,,10,https://anachb.vor.at#P|SQ!evaId|Wien%20Wallensteinplatz!start|1,
OEFFHALTESTOGD.3082812,3082812,POINT (16.370781126428714 48.22975288158673),Wallensteinplatz,Wallensteinplatz,"O, 33, 1, 5",,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Wallensteinplatz!start|1,
OEFFHALTESTOGD.3080805,3080805,POINT (16.31734032669628 48.30922558159015),Klosterneuburg Dr.-Weiß-Gasse,Klosterneuburg Dr.-Weiß-Gasse,1,,2,https://anachb.vor.at#P|SQ!evaId|Klosterneuburg%20Dr.-Weiß-Gasse!start|1,
OEFFHALTESTOGD.3080806,3080806,POINT (16.319684925762907 48.308610181207506),Klosterneuburg Josef-Brenner-Str.,Klosterneuburg Josef-Brenner-Str.,1,,2,https://anachb.vor.at#P|SQ!evaId|Klosterneuburg%20Josef-Brenner-Str.!start|1,
